Instruction,Output,,,
"Write a Python code snippet to Calculate High Education: Grade Calculation for Decision Making for Experts. Consider the Bias and implement appropriate if/else or switch/case statements to handle different conditions. Dry-run, then provide comments explaining your decision-making process and how the control flow is structured.","Here’s a python program which calculates GPA (Grade Point Average) based on marks obtained by students in their exams. The program considers both internal assessment(IA) and final examination scores of each subject. If IA score is available, grade calculation will consider only final exam mark otherwise both IA & Final Exam marks considered for calculating GPA. 
```python
# Input grades as a list of tuples where each tuple represents one subject
grades = [
    ('Math',90), # Subject name followed by its grade 
    ('Physics',85),('Chemistry',76),('Biology',100)]
    
total_marks=sum([mark[1] for subj,mark in grades]) # Summing up all the marks
num_of_subjects=len(grades)
if num_of_subjects>0 :
    avg=(total_marks/num_of_subjects)
    
    print(""GPA:"",avg)
    
    if ia_score:
        gpa_with_ia=(final_exam_score+ia_score)/2
        
        print(""With Internal Assessment Score:"",gpa_with_ia)
```",,,
Build a C++ module snippet that Transforms High Social Media: Trending Topics for Decision Making for Professionals. Incorporate if/else or switch/case statements to handle different cases based on the Privacy. Ensure your control flow is well-documented with comments explaining your approach.,"Here is a possible implementation of this functionality in C++, incorporating both `if` and `switch` statements to handle different privacy levels:

    #include <iostream>
    #include <string>
    
    int main() {
      std::cout << ""Enter social media username (e.g., twitter): "";
      std::string username;
      std::cin >> username;
    
      std::cout << ""Enter desired privacy level [1 - public, 2 - private]: "";
      int privacyLevel;
      std::cin >> privacyLevel;
    
    
      // Determine which algorithm to use based on the selected privacy level
      std::string trendsAlgorithm;
      if (privacyLevel == 1) {
        trendsAlgorithm = ""public_trends"";
      } else if (privacyLevel == 2) {
        trendsAlgorithm = ""protected_trends"";
      } else {
        std::cerr << ""Invalid privacy level specified."" << std::endl;
        return 1;
      }
    
    
      // Use the chosen algorithm to retrieve the user's trending topics
      std::cout << ""Retrieving trending topics..."" << std::endl;
      auto trendsResponse = getTrends(username, trendsAlgorithm);
      if (!trendsResponse.has_value()) {
        std::cerr << ""Error retrieving trends: "" << trendsResponse.error().message() << std::endl;
        return 1;
      }
    
    
      // Display the retrieved trends
      std::cout << ""Trending topics:"" << std::endl;
      for (const auto& topic : trendsResponse->data()) {
        std::cout << ""	"" << topic.name() << std::endl;
      }
    
    
      return 0;
    }
    
    // Function prototype for getting the user's trending topics given their username and algorithm
    std::optional<std::vector<std::string>> getTrends(const std::string& username, const std::string& algorithm);


In this example, we first prompt the user to enter their social media username and the desired privacy level (public or private). Based on the selected privacy level, we determine which algorithm to use when calling the `getTrends()` function (which is implemented separately but not shown here).

The `getTrends()` function takes two arguments: the username and the algorithm to use. It then uses the provided information to make a request to the relevant API endpoint and returns a vector containing the trending topics. If there was an error making the request or parsing the response, the function returns an optional value containing an error message.

Finally, in the main function, we call the `getTrends()` function with the appropriate arguments, parse the response, and display the resulting trending topics.",,,
Build a C++ module snippet that Transforms High Personal Organization: Goal Tracking for Decision Making for Professionals. Incorporate if/else or switch/case statements to handle different cases based on the Responsibility. Ensure your control flow is well-documented with comments explaining your approach.,"Here's some sample C++ code that implements goal tracking for decision making in professional contexts:

    #include <iostream>
    #include <string>
    #include <map>
    
    // Define our enumerated type for responsibilities
    enum class Responsibility {
        Finance = 0,
        Operations,
        Marketing,
        HumanResources,
        ResearchAndDevelopment,
        Legal,
        Other
    };
    
    // Function prototypes
    std::ostream& operator<<(std::ostream&, const Responsibility&);
    void trackGoals(const Responsibility&, const std::string&);
    std::istream& getInput(std::string&);
    
    int main() {
    
        // Map each responsibility to its corresponding map of goals
        std::map<Responsibility, std::map<std::string, bool>> goals;
        
        // Loop until we exit the program
        while (true) {
        
            // Prompt the user for their responsibility
            std::cout << ""Enter your responsibility (finance, operations, marketing, human resources, research and development, legal, other): "";
            Responsibility resp;
            getInput(resp);
            
            // Check whether they entered a valid option
            if (!goals.count(resp)) {
                std::cerr << ""Invalid choice."" << std::endl;
                continue;
            }
        
            // Prompt them for their goal
            std::cout << ""Enter your goal ("" << static_cast<int>(resp) + 1 << ""/"" << goals[resp].size() << ""): "";
            std::string goal;
            getInput(goal);
        
            // Track the goal completion status
            trackGoals(resp, goal);
        }
    
        return 0;
    }
    
    // Function definitions
    std::ostream& operator<<(std::ostream& os, const Responsibility& r) {
        switch (r) {
            case Responsibility::Finance:    os << ""finance""; break;
            case Responsibility::Operations: os << ""operations""; break;
            case Responsibility::Marketing:  os << ""marketing""; break;
            case Responsibility::HumanResources: os << ""human resources""; break;
            case Responsibility::ResearchAndDevelopment: os << ""research and development""; break;
            case Responsibility::Legal:      os << ""legal""; break;
            default:                        os << ""other""; break;
        }
        return os;
    }
    
    void trackGoals(const Responsibility& responsible, const std::string& name) {
    
        // Lookup the list of goals for this responsibility
        auto itr = goals.find(responsible);
        if (itr == goals.end()) {
            std::cerr << ""Error: no such responsibility"" << std::endl;
            return;
        }
    
        // Find the index of the current goal within the list
        size_t idx = 0;
        for (; idx < itr->second.size(); ++idx) {
            if (itr->second.at(name)) {
                break;
            }
        }
    
        // If the goal has already been completed, increment to the next one
        if (itr->second.at(name)) {
            idx++;
        }
    
        // Prompt the user to enter their progress towards the goal
        std::cout << ""How much work have you done toward '"" << name << ""' so far? [0-"" << (itr->second.size()-1) << ""] "";
        int percentComplete;
        getInput(percentComplete);
    
        // Update the goal tracker with the new information
        itr->second[name] = static_cast<double>(percentComplete) / 100 >= idx;
    
        // Print out a summary of all tracked goals
        std::cout << ""\nYour goals for "" << static_cast<int>(responsible) + 1 << "": \n\n"";
        for (auto&& g : itr->second) {
            std::cout << ""["" << g.first << ""]"";
            if (g.second) {
                std::cout << ""[X]"";
            } else {
                std::cout << ""[ ]"";
            }
            std::cout << '\n';
        }
        std::cout << std::endl;
    }
    
    std::istream& getInput(std::string& str) {
        return std::cin >> str;
    }",,,
Build a C++ module snippet that Transforms High Education: Course Enrollment for Decision Making for Professionals. Incorporate if/else or switch/case statements to handle different cases based on the Responsibility. Ensure your control flow is well-documented with comments explaining your approach.,"Here's some sample C++ code that demonstrates how to use `if` and `switch` statements to transform high education course enrollment data for decision making purposes:

    #include <iostream>
    #include <map>
    
    int main() {
        // Input data
        std::string responsibility;
        double gpa;
        double testScore;
    
        // Map responsibilities to scores    
        std::map<std::string, double> scoreMap = {{""A+"", 4.0}, {""A"", 3.75}, {""A-"", 3.5},
                                               {""B+"", 3.25}, {""B"", 3.0},   {""B-"", 2.75},
                                               {""C+"", 2.5},  {""C"", 2.25},  {""C-"", 2.0}};
    
        // Prompt user for input
        std::cout << ""Enter responsibility (e.g., 'Student'): "";
        std::cin >> responsibility;
        std::cout << ""Enter GPA: "";
        std::cin >> gpa;
        std::cout << ""Enter test score: "";
        std::cin >> testScore;
    
        // Calculate composite score
        double compositeScore = (gpa * 0.3) + (testScore * 0.7);
    
        // Determine eligibility based on composite score    
        double minCompositeScore = scoreMap[responsibility];
        bool eligible = compositeScore >= minCompositeScore ? true : false;
    
        // Print result    
        std::cout << ""\nEligibility: "" << (eligible ? ""Yes"" : ""No"") << std::endl;
    
        return 0;
    }
    

In this code, we first define a map called `scoreMap`, which maps each responsibility level (e.g., A+, A, B+) to its corresponding minimum required composite score. We then prompt the user to enter their responsibility, GPA, and test score. Finally, we calculate the composite score by multiplying the GPA weightage (0.3) and test score weightage (0.7), and check whether the calculated score is greater than or equal to the minimum required composite score for the given responsibility. Based on this determination, we print out whether the individual is eligible for admission into higher education courses.",,,
Build a Java module snippet that Transforms High Education: Academic Planning for Analysis for Beginners. Incorporate if/else or switch/case statements to handle different cases based on the Privacy. Ensure your control flow is well-documented with comments explaining your approach.,"Here is some sample java code which implements transforming high education data into analysis format for beginner students. It uses if else statement to check privacy level of each record and applies appropriate transformation logic depending upon the value of privacy flag. 

```java 
public class TransformData {

    public static List<StudentRecord> transform(List<StudentRecord> records) {
        List<StudentRecord> transformedRecords = new ArrayList<>();

        for (StudentRecord record : records) {
            String name = record.getName();
            int age = record.getAge();
            double gpa = record.getGpa();
            Date enrollmentDate = record.getEnrollmentDate();
            boolean isOnProbation = record.isOnProbation();

            // Check privacy level and apply transformations accordingly 
            if (record.getPrivacyLevel() == PrivacyLevel.PRIVATE) {
                transformedRecords.add(new StudentRecord(name, age, gpa, enrollmentDate, isOnProbation));
            } else if (record.getPrivacyLevel() == PrivacyLevel.PROTECTED_DATA) {
                transformedRecords.add(new StudentRecord(name, ""XX"", gpa, enrollmentDate, isOnProbation));
            } else {
                transformedRecords.add(new StudentRecord(""XXX"", age, gpa, enrollmentDate, isOnProbation));
            }
        }

        return transformedRecords;
    }
}

 ```",,,
Build a Java module snippet that Displays High Weather: Weather Forecast for Analysis for Professionals. Incorporate if/else or switch/case statements to handle different cases based on the Ethics. Ensure your control flow is well-documented with comments explaining your approach.,"Here's some sample java code which displays high weather forecast information for analysis by professionals incorporating if else statement to handle different conditions : 

```java 
import java.io.*;
import java.net.*;
import java.util.*;

public class Main {
    public static void main(String[] args) throws IOException {
        // Get user input location 
        Scanner scan = new Scanner(system.in);
        System.out.print(""Enter city name: "");
        String cityName = scan.nextLine();

        // Create URL object from OpenWeatherMap API endpoint
        URL url = new URL(""https://api.openweathermap.org/data/2.5/forecast?q="" + cityName + ""&appid=YOUR_API_KEY"");

        // Connect to URL and retrieve JSON data as InputStream
        HttpURLConnection conn = (HttpURLConnection)url.openConnection();
        conn.setRequestMethod(""GET"");
        conn.setDoInput(true);
        InputStream inputStream = conn.getInputStream();

        // Parse JSON data into HashMap
        ObjectMapper mapper = new ObjectMapper();
        JsonNode rootNode = mapper.readTree(inputStream);
        Map<String, Object> jsonData = mapper.convertValue(rootNode, new TypeReference<HashMap<String,Object>>() {});
        
        // Check if there was any error retrieving data from server
        if ((Integer)jsonData.get(""cod"") != 200) {
            System.out.println(""Error occurred while retreiving data. Please try again later."");
            return;
        }

        // Extract relevant data from JSON
        List<?> list = (List<?>)jsonData.get(""list"");
        double maxTemp = -999;
        int i = 0;
        while (i < list.size()) {
            Map<?, ?> entry = (Map<?,?>)list.get(i);
            Double temp = (Double)entry.get(""main"").get(""temp"");
            if (maxTemp < temp)
                maxTemp = temp;
            i++;
        }
        Date date = new Date((Long)list.get(0).get(""dt""));
        SimpleDateFormat sdf = new SimpleDateFormat(""E MMM dd HH:mm yyyy"");
        String formattedDate = sdf.format(date);

        // Display result
        System.out.printf(""High temperature on %s: %.1f°C%n"", formattedDate, maxTemp);

    }
}
```",,,
Build a Java module snippet that Displays High Travel: Hotel Booking for Analysis for Professionals. Incorporate if/else or switch/case statements to handle different cases based on the Transparency. Ensure your control flow is well-documented with comments explaining your approach.,"Here is a sample java program which displays high travel : hotel booking analysis for professionals incorporating if else statement to handle different transparency values. 

```java 
import java.util.*;
public class DisplayHighTravelHotelBooking {
    public static void main(String[] args) {
        // Read input from user
        Scanner scan = new Scanner(system.in);
        System.out.println(""Enter number of days"");
        int numDays = scan.nextInt();

        // Input array of bookings for each day
        ArrayList<ArrayList<Integer>> bookingsByDay = new ArrayList<>();
        for (int i = 0; i < numDays; i++) {
            System.out.print(""Enter bookings for day "" + (i+1) + "": "");
            StringTokenizer st = new StringTokenizer(scan.nextLine(), "","");
            ArrayList<Integer> bookingsForDay = new ArrayList<>();
            while (st.hasMoreTokens())
                bookingsForDay.add(Integer.parseInt(st.nextToken()));
            bookingsByDay.add(bookingsForDay);
        }

        // Calculate total revenue earned by hotels per day
        long[][] revenuesByDayAndHotel = calculateTotalRevenuePerDayAndHotel(bookingsByDay);

        // Find highest revenue generating day and hotel combination
        int maxRevDay = findMaxRevenueGeneratingDay(revenuesByDayAndHotel);
        int maxRevHotel = findMaxRevenueGeneratingHotel(maxRevDay, revenuesByDayAndHotel);
        long maxRevenue = revenuesByDayAndHotel[maxRevDay][maxRevHotel];

        // Print output
        printOutput(numDays, bookingsByDay, revenuesByDayAndHotel, maxRevDay, maxRevHotel, maxRevenue);
    }

    /**
     * Calculates the total revenue generated by all hotels for each day
     */
    private static long[][] calculateTotalRevenuePerDayAndHotel(ArrayList<ArrayList<Integer>> bookingsByDay) {
        long numHotels = bookingsByDay.get(0).size();
        long[][] revenuesByDayAndHotel = new long[bookingsByDay.size()][numHotels];
        for (int d = 0; d < bookingsByDay.size(); d++) {
            List<Integer> bookingsForDay = bookingsByDay.get(d);
            for (int h = 0; h < numHotels; h++) {
                long revForDayAndHotel = 0;
                for (int b : bookingsForDay)
                    revForDayAndHotel += Math.abs((long)(Math.random()*b));
                revenuesByDayAndHotel[d][h] = revForDayAndHotel;
            }
        }
        return revenuesByDayAndHotel;
    }

    /**
     * Finds the index of the maximum revenue generating day among all days
     */
    private static int findMaxRevenueGeneratingDay(long[][] revenuesByDayAndHotel) {
        int maxRevDay = -1;
        long maxRev = Long.MIN_VALUE;
        for (int d = 0; d < revenuesByDayAndHotel.length; d++) {
            long sum = Arrays.stream(revenuesByDayAndHotel[d]).sum();
            if (sum > maxRev) {
                maxRev = sum;
                maxRevDay = d;
            }
        }
        return maxRevDay;
    }

    /**
     * Finds the index of the hotel which contributed most to the maximum revenue generation day
     */
    private static int findMaxRevenueGeneratingHotel(int maxRevDay, long[][] revenuesByDayAndHotel) {
        int maxRevHotel = -1;
        long maxRevContrib = Long.MIN_VALUE;
        for (int h = 0; h < revenuesByDayAndHotel[0].length; h++) {
            long contrib = revenuesByDayAndHotel[maxRevDay][h];
            if (contrib > maxRevContrib) {
                maxRevContrib = contrib;
                maxRevHotel = h;
            }
        }
        return maxRevHotel;
    }

    /**
     * Prints the output containing details about the maximum revenue generating day and hotel along with their respective revenues
     */
    private static void printOutput(int numDays, ArrayList<ArrayList<Integer>> bookingsByDay, long[][] revenuesByDayAndHotel,
                                   int maxRevDay, int maxRevHotel, long maxRevenue) {
        System.out.println(""Maximum revenue was $"" + maxRevenue + "" generated on day ""
                           + (maxRevDay+1) + "" by hotel "" + (maxRevHotel+1) + "".\n"");
        System.out.println(""Bookings",,,
Build a JavaScript module snippet that Displays High Security: Data Encryption for Engineer for Professionals. Incorporate if/else or switch/case statements to handle different cases based on the Consent. Ensure your control flow is well-documented with comments explaining your approach.,"Here's an example of how you could implement high security data encryption in JavaScript as a reusable module:
```javascript 
// Module declaration
const crypto = require('crypto');

/**
 * Function to encrypt data
 * @param {string} data - The data to be encrypted
 * @returns {string} The encrypted data 
 */
function encryptData(data) {
  // Check whether user has given consent to use encryption
  const consentGiven = checkConsent();

  if (consentGiven) {
    // Generate a key
    const key = generateKey();

    // Encrypt the data using AES256 algorithm
    const cipher = crypto.createCipheriv('aes-256-cbc', key, Buffer.from(''));
    let encryptedData = cipher.update(data);
    encryptedData += cipher.final();

    return encryptedData;
  } else {
    console.log(""User did not give consent to use encryption."");
    return null;
  }
}

/**
 * Function to decrypt data
 * @param {string} encryptedData - The encrypted data to be decrypted
 * @returns {string} The decrypted data
 */
function decryptData(encryptedData) {
  // Check whether user has given consent to use decryption
  const consentGiven = checkConsent();

  if (consentGiven) {
    // Generate a key
    const key = generateKey();

    // Decrypt the data using AES256 algorithm
    const decipher = crypto.createDecipheriv('aes-256-cbc', key, Buffer.from(''));
    let decryptedData = decipher.update(encryptedData);
    decryptedData += decipher.final();

    return decryptedData;
  } else {
    console.log(""User did not give consent to use decryption."");
    return null;
  }
}

/**
 * Function to generate a random key for encryption/decryption
 * @return {Buffer} A generated key
 */
function generateKey() {
  return crypto.randomBytes(32);
}

/**
 * Function to check whether user has given consent to use encryption/decryption
 * @return {boolean} True if user gave consent, false otherwise
 */
function checkConsent() {
  // Implement logic to check whether user has granted permission to use encryption/decryption
  return true;
}

module.exports = {
  encryptData, 
  decryptData
};
``` 
In this implementation, we first define two functions `encryptData` and `decryptData`, which take input data as strings and perform encryption/decryption respectively. We also define another function `generateKey` to generate a random key for encryption/decryption, and a final function `checkConsent` to determine whether the user has provided their consent to use encryption/decryption.

The main functionality of the module lies within the `encryptData` and `decryptData` functions. Here, we utilize the Node.js built-in `crypto` library to perform encryption/decryption operations using the Advanced Encryption Standard (AES) algorithm with a block size of 128 bits and a key length of 256 bits. Specifically, we use the `createCipheriv()` and `createDecipheriv()` methods to create ciphers for encryption/decryption, where the first argument specifies the encryption algorithm (`'aes-256-cbc'` in our case), the second argument provides the encryption key, and the third argument represents the initialization vector (IV).

We then employ the `if`/`else` statement to check whether the user has given their consent to use encryption/decryption. If they have, we call the `generateKey` function to generate a new key, and use the cipher object to encrypt/decrypt the data accordingly. On the other hand, if the user hasn't given their consent, we simply log a message informing them and returning `null`. This way, we can ensure that sensitive information remains protected even when the user doesn't want to use encryption/decryption.",,,
Build a JavaScript module snippet that Displays High Online Shopping: Shipping for Engineer for Professionals. Incorporate if/else or switch/case statements to handle different cases based on the Responsibility. Ensure your control flow is well-documented with comments explaining your approach.,"Here is a possible implementation of this requirement in Javascript:

 ```javascript 
const displayHighOnlineShoppingShippingForEngineer = (userType) => {
  let shippingCost;

  // Define different prices based on user type 
  if(userType === 'professional') 
    shippingCost = '$5';
  else
    shippingCost = '$10';
  
  return `High online shopping: ${shippingCost}`;
};
``` 

In this solution we define two different price levels depending on whether the user is classified as professional or not. We use an if statement to check which condition applies and assign the appropriate value to the variable ""shippingCost"". The function returns a string containing the message along with the calculated shipping cost.",,,
Build a JavaScript module snippet that Determines High Travel: Hotel Booking for Engineer for Experts. Incorporate if/else or switch/case statements to handle different cases based on the Consent. Ensure your control flow is well-documented with comments explaining your approach.,"Here is a possible implementation of this function written in Javascript:

 ```javascript
/**
 * Determine whether hotel booking request has high travel flag set 
 * (for engineers travelling alone)
 */
function determineHighTravel(request) {
  // Check if 'high_travel' field exists in request object 
  if (!('high_travel' in request)) {
    return false;
  }
  
  // Evaluate value of 'high_travel' field
  const highTravel = request['high_travel'];

  /* 
   * Use conditional statement to evaluate consent status
   * Based on the evaluation result, return appropriate message
   */
  if (highTravel === true || highTravel === ""true"") {
    return `Hotel reservation made for engineer with high travel flag`;
  } else if (highTravel === false || highTravel === ""false"") {
    return `Normal hotel reservation without any special requirements`;
  } else {
    throw new Error(`Invalid value provided for 'high_travel': ${highTravel}`);
  }
}
```",,,
"Create a C++ script snippet that Updates High Personal Organization: Calendar Scheduling for Analysis for Experts. Use if/else or switch/case statements to conditionally perform different actions based on the Transparency. Dry-run, then include comments that outline the control flow and how you handle different scenarios.","Here is some sample C++ code that updates high personal organization by scheduling events in a calendar based on transparency levels:

    #include <iostream>
    #include <string>
    #include <ctime>
    #include <cmath>
    
    int main() {
      // Define variables
      std::string event_name;
      std::string start_time;
      std::string end_time;
      double transparency;
    
      // Prompt user for input
      std::cout << ""Enter name of event: "";
      std::getline(std::cin, event_name);
      std::cout << ""Enter starting time (HH:MM): "";
      std::getline(std::cin, start_time);
      std::cout << ""Enter ending time (HH:MM): "";
      std::getline(std::cin, end_time);
      std::cout << ""Enter level of transparency [0 - 1]: "";
      std::cin >> transparency;
    
    
      // Check validity of inputs
      while (!(std::cin && std::isdigit(std::cin.peek()))) {
        std::cerr << ""Invalid input. Please enter a number between 0 and 1."" << std::endl;
        std::cout << ""Enter level of transparency [0 - 1]: "";
        std::cin >> transparency;
      }
    
    
      // Convert times to integers
      int hour = stoi(start_time.substr(0,2));
      int minute = stoi(start_time.substr(3,5));
      int start_hour = hour + floor((transparency * 6) / 10);
      int start_minute = minute + ((floor((transparency * 60) / 100)) % 60);
      hour = stoi(end_time.substr(0,2));
      minute = stoi(end_time.substr(3,5));
      int end_hour = hour + ceil(((1 - transparency) * 6) / 10);
      int end_minute = minute + (((ceil((1 - transparency) * 60) / 100)) % 60);
    
    
      // Print schedule
      std::cout << ""Event: "" << event_name << ""\n"";
      std::cout << ""Start Time: "" << start_hour << "":"" << start_minute << ""\n"";
      std::cout << ""End Time: "" << end_hour << "":"" << end_minute << ""\n\n"";
    
    
      return 0;
    }
    

This program prompts the user to enter the name of the event, its start and end time, as well as the desired transparency level. It then checks the validity of the inputted values before converting them into integers for easier manipulation. Finally, it prints out a detailed schedule showing when the event will occur depending on the specified transparency level.",,,
"Create a relation database and SQL script snippet that Checks High Fitness: Calorie Tracking for Decision Making for Professionals. Use if/else or switch/case statements to conditionally perform different actions based on the Responsibility. Dry-run, then include comments that outline the control flow and how you handle different scenarios.","Here is a sample relational database schema and corresponding SQL queries to implement a system for tracking calories consumed by users of a fitness app:

1. Database Schema:

    ```sql
    CREATE TABLE IF NOT EXISTS user (
        id INTEGER PRIMARY KEY AUTOINCREMENT, 
        username TEXT UNIQUE NOT NULL, 
        password TEXT NOT NULL, 
        email TEXT NOT NULL, 
        joined_on TIMESTAMP DEFAULT CURRENT_TIMESTAMP
    );
    
    CREATE TABLE IF NOT EXISTS meal (
        id INTEGER PRIMARY KEY AUTOINCREMENT, 
        date DATE NOT NULL, 
        description TEXT, 
        kcal INT, 
        user_id INTEGER REFERENCES user(id) ON DELETE CASCADE
    );
    
    CREATE TABLE IF NOT EXISTS exercise (
        id INTEGER PRIMARY KEY AUTOINCREMENT, 
        name TEXT NOT NULL, 
        duration INT NOT NULL, 
        intensity REAL NOT NULL, 
        date DATE NOT NULL, 
        notes TEXT, 
        kcal_burned INT, 
        user_id INTEGER REFERENCES user(id) ON DELETE CASCADE
    );
    ```
    
2. Queries:

    1. Add User:
    
        ```sql
        INSERT INTO user (username, password, email) VALUES ('alice', 'pa$$w0rd', '<EMAIL>');
        ```
    
    2. Login:
        
        ```sql
        SELECT * FROM user WHERE username = 'alice' AND password = 'pa$$w0rd';
        ```
        
    3. Track Meal:

        ```sql
        INSERT INTO meal (date, description, kcal, user_id) 
            VALUES ('2023-04-15', 'Chicken curry', 600, (SELECT id FROM user WHERE username='alice'));
        ```

    4. View All Meals:
    
        ```sql
        SELECT m.*, u.email AS ""userEmail""
            FROM meal m JOIN user u 
                ON m.user_id=u.id
                ORDER BY m.date DESC;
        ```

    5. Calculate Total KCALs:
    
        ```sql
        SELECT SUM(kcal) as totalKCal
            FROM meal;
        ```

    6. Track Exercise:

        ```sql
        INSERT INTO exercise (name, duration, intensity, date, notes, kcal_burned, user_id) 
            VALUES ('Walking', 30, 0.7, '2023-04-18', 'Great workout!', 200, (SELECT id FROM user WHERE username='alice'));
        ```

    7. View All Exercises:
    
        ```sql
        SELECT e.*, u.email AS ""userEmail""
            FROM exercise e JOIN user u 
                ON e.user_id=u.id
                ORDER BY e.date DESC;
        ```

    8. Calculate Total KCAL Burnt:
    
        ```sql
        SELECT SUM(kcal_burned) as totalBurnedKCal
            FROM exercise;
        ```

    9. Check High Fitness:
    
        ```sql
        -- Get today's date
        DECLARE @todayDate DATETIME = GETDATE();
    
        -- Query all tracked exercises for today
        SELECT e.* 
            FROM exercise e JOIN meal m 
                ON e.user_id=m.user_id
                    WHERE m.date=@todayDate;
    
        -- Define threshold values for low, medium and high activity levels
        DECLARE @lowActivityThreshold INT = 1000;    -- Low activity level: < @lowActivityThreshold KCAL burnt today
        DECLARE @mediumActivityThreshold INT = 3000;   -- Medium activity level: >= @lowActivityThreshold and <= @highActivityThreshold KCAL burnt today
        DECLARE @highActivityThreshold INT = 5000;     -- High activity level: > @mediumActivityThreshold KCAL burnt today
    
        -- Determine responsibility based on activity level
        IF (@totalKcalBurned < @lowActivityThreshold) THEN
            SET @responsibility = 'Low Activity';
        ELSIF (@totalKcalBurned BETWEEN @lowActivityThreshold AND @mediumActivityThreshold) THEN
            SET @responsibility = 'Medium Activity';
        ELSE
            SET @responsibility = 'High Activity';
        END IF;
    
        -- Return results
        SELECT @responsibility AS ""Responsibility"", 
               COUNT(*) AS ""NumExercisesToday"";
        ```

This script defines three activity thresholds - `@lowActivityThreshold`, `@mediumActivityThreshold` and `@highActivityThreshold`. It calculates the total number of kilocalories (`kcal`) burned by the user on each day and determines their activity level based on these thresholds. The query returns the user’s responsibility along with the number of exercises they performed on that particular day.",,,
"Create a relation database and SQL script snippet that Checks High Finance: Stock Market Analysis for Analysis for Experts. Use if/else or switch/case statements to conditionally perform different actions based on the Reliability. Dry-run, then include comments that outline the control flow and how you handle different scenarios.","Here is a sample relational database schema and some example queries written in SQL to analyze stock market data:
```sql
-- Table: Stocks
CREATE TABLE IF NOT EXISTS `Stocks` (
  `Symbol` varchar(10) PRIMARY KEY,  -- Stock ticker symbol
  `Name` varchar(50),                  -- Full company name
  `Exchange` varchar(20)                -- Exchange where stock trades
);


-- Table: Historical Prices
CREATE TABLE IF NOT EXISTS `HistoricalPrices` (
  `Date` date PRIMARY KEY,               -- Date of historical price
  `Open` decimal(8, 2),                 -- Opening price
  `High` decimal(8, 2),                 -- Highest price during day
  `Low` decimal(8, 2),                  -- Lowest price during day
  `Close` decimal(8, 2),                -- Closing price
  `Volume` int,                         -- Number of shares traded
  `Adj Close` decimal(8, 2)             -- Adjusted closing price (for splits)
  FOREIGN KEY (`Symbol`) REFERENCES `Stocks`(`Symbol`) ON DELETE CASCADE
);


-- Query: Get top gainers today
SELECT S.Symbol, S.Name, HP.Close, HP.Volume
FROM Stocks AS S
         JOIN
     HistoricalPrices AS HP
       ON S.Symbol = HP.Symbol
WHERE DATE(HP.Date) = CURDATE() AND
      HP.Close > (SELECT AVG(HP2.Close)
                   FROM HistoricalPrices AS HP2
                  WHERE DATE(HP2.Date) = CURDATE())
ORDER BY HP.Close DESC;



-- Query: Get worst performing stocks over last month
SELECT S.Symbol, S.Name, ROUND((AVG(HP.Close)-S.CurrentPrice)*100, 2) AS LossPercentage
FROM Stocks as s
    INNER JOIN
        (
            SELECT Symbol, MAX(Date) as LastTradeDate, CURRENT_PRICE as CurrentPrice 
            from STOCKS_PRICES group by SYMBOL    
        ) as t 
    ON s.symbol=t.SYMBOL    
    LEFT OUTER join 
        (select * from HISTORICAL_PRICES order by DATE desc limit 30) as hp 
    on s.symbol=hp.SYMBOL and DATE(hp.date)=t.LastTradeDate    
where MONTHNAME(t.LastTradeDate)=MONTHNAME(CURDATE()-INTERVAL 1 MONTH)  
group by s.symbol having max(Losspercentage)>20 ORDER BY losspercentage DESC;
```",,,
